-1.15, 0.408
-1.13, 0.400
-1.10, 0.389
-1.07, 0.380
-1.04, 0.371
-1.02, 0.360
-0.990, 0.352
-0.963, 0.341
-0.936, 0.333
-0.908, 0.305
-0.881, 0.243
-0.854, 0.179
-0.826, 0.117
-0.799, 0.0558
-0.772, -0.00581
-0.745, -0.0473
-0.717, -0.0755
-0.690, -0.104
-0.663, -0.133
-0.635, -0.158
-0.608, -0.183
-0.581, -0.189
-0.553, -0.197
-0.526, -0.204
-0.499, -0.209
-0.471, -0.219
-0.444, -0.236
-0.417, -0.258
-0.390, -0.279
-0.362, -0.300
-0.335, -0.317
-0.308, -0.330
-0.280, -0.343
-0.253, -0.355
-0.226, -0.369
-0.198, -0.383
-0.171, -0.397
-0.144, -0.410
-0.116, -0.418
-0.0892, -0.417
-0.0619, -0.402
-0.0346, -0.383
-0.00726, -0.393
0.0201, -0.421
0.0474, -0.442
0.0747, -0.445
0.102, -0.440
0.129, -0.433
0.157, -0.379
0.184, -0.311
0.211, -0.243
0.238, -0.192
0.266, -0.200
0.293, -0.216
0.320, -0.233
0.348, -0.248
0.375, -0.260
0.402, -0.272
0.430, -0.283
0.457, -0.268
0.484, -0.252
0.512, -0.244
0.539, -0.272
0.566, -0.299
0.583, -0.300
